Detector Type,  Detector Time, Detected KeyPoints, Descriptor Type, Descriptor Time, MatcherType, SelectorType, Match Time, Matched KeyPoints
HARIS,28.1487,47,BRISK,287.569,MAT_BF,SEL_KNN,0.091074,16
HARIS,13.1852,18,BRISK,290.251,MAT_BF,SEL_KNN,0.092962,17
HARIS,16.2924,33,BRISK,287.977,MAT_BF,SEL_KNN,0.0797,15
HARIS,14.4783,27,BRISK,291.064,MAT_BF,SEL_KNN,0.090184,22
HARIS,18.8324,35,BRISK,289.565,MAT_BF,SEL_KNN,0.093236,21
BRISK,457.433,264,BRISK,309.099,BRISK,334.157,282,BRISK,303.272,MAT_BF,SEL_KNN,49.532,171
BRISK,335.417,282,BRISK,301.942,MAT_BF,SEL_KNN,1.30951,176
BRISK,333.755,277,BRISK,300.948,MAT_BF,SEL_KNN,1.17162,157
BRISK,332.223,297,BRISK,301.904,MAT_BF,SEL_KNN,2.17373,176
BRISK,331.928,279,BRISK,300.882,MAT_BF,SEL_KNN,1.2171,174
BRISK,334.023,289,BRISK,301.292,MAT_BF,SEL_KNN,1.34627,188
BRISK,330.163,272,BRISK,301.908,MAT_BF,SEL_KNN,1.13973,173
BRISK,329.88,266,BRISK,300.772,MAT_BF,SEL_KNN,1.29504,171
BRISK,332.735,254,BRISK,301.123,MAT_BF,SEL_KNN,1.09925,184
BRISK,337.358,264,BRIEF,13.2973,BRISK,322.306,282,BRIEF,1.11558,MAT_BF,SEL_KNN,1.00681,178
BRISK,321.102,282,BRIEF,1.11906,MAT_BF,SEL_KNN,0.998912,205
BRISK,321.442,277,BRIEF,1.13383,MAT_BF,SEL_KNN,0.983158,185
BRISK,320.923,297,BRIEF,1.16707,MAT_BF,SEL_KNN,1.02551,179
BRISK,320.291,279,BRIEF,1.1113,MAT_BF,SEL_KNN,1.03682,183
BRISK,319.624,289,BRIEF,1.17344,MAT_BF,SEL_KNN,1.00815,195
BRISK,319.879,272,BRIEF,1.10215,MAT_BF,SEL_KNN,0.991589,207
BRISK,320.694,266,BRIEF,1.08468,MAT_BF,SEL_KNN,0.916589,189
BRISK,319.902,254,BRIEF,1.05525,MAT_BF,SEL_KNN,1.56267,183
BRISK,339.335,264,ORB,43.9563,BRISK,338.023,282,ORB,4.72364,MAT_BF,SEL_KNN,1.21138,162
BRISK,334.209,282,ORB,4.42808,MAT_BF,SEL_KNN,0.983513,175
BRISK,326.029,277,ORB,4.57883,MAT_BF,SEL_KNN,1.00347,158
BRISK,324.878,297,ORB,5.17407,MAT_BF,SEL_KNN,1.03568,167
BRISK,320.589,279,ORB,4.45414,MAT_BF,SEL_KNN,1.0605,160
BRISK,323.656,289,ORB,4.43736,MAT_BF,SEL_KNN,1.00213,182
BRISK,334.706,272,ORB,4.29874,MAT_BF,SEL_KNN,1.63826,167
BRISK,326.362,266,ORB,4.43642,MAT_BF,SEL_KNN,0.924919,171
BRISK,328.674,254,ORB,5.73612,MAT_BF,SEL_KNN,0.867299,172
BRISK,335.057,264,FREAK,40.8547,BRISK,321.526,282,FREAK,44.2627,MAT_BF,SEL_KNN,1.06759,160
BRISK,330.766,282,FREAK,39.2568,MAT_BF,SEL_KNN,0.986712,177
BRISK,322.912,277,FREAK,38.4711,MAT_BF,SEL_KNN,0.997468,155
BRISK,325.835,297,FREAK,38.7025,MAT_BF,SEL_KNN,1.04211,173
BRISK,326.021,279,FREAK,38.855,MAT_BF,SEL_KNN,1.09444,161
BRISK,321.417,289,FREAK,38.6686,MAT_BF,SEL_KNN,1.02989,183
BRISK,320.952,272,FREAK,38.6321,MAT_BF,SEL_KNN,0.991354,169
BRISK,320.734,266,FREAK,38.7705,MAT_BF,SEL_KNN,0.905515,178
BRISK,320.968,254,FREAK,39.1566,MAT_BF,SEL_KNN,0.848051,168
BRISK,325.18,264,SIFT,105.741,BRISK,321.995,282,SIFT,44.5392,MAT_BF,SEL_KNN,1.56996,182
BRISK,321.445,282,SIFT,50.9876,MAT_BF,SEL_KNN,1.64817,193
BRISK,321.053,277,SIFT,47.254,MAT_BF,SEL_KNN,1.61411,169
BRISK,331.854,297,SIFT,46.7652,MAT_BF,SEL_KNN,1.67371,183
BRISK,321.609,279,SIFT,48.556,MAT_BF,SEL_KNN,1.85681,171
BRISK,322.958,289,SIFT,49.4094,MAT_BF,SEL_KNN,2.00489,195
BRISK,326.844,272,SIFT,44.0075,MAT_BF,SEL_KNN,1.61696,194
BRISK,319.982,266,SIFT,47.9876,MAT_BF,SEL_KNN,1.52867,176
BRISK,323.047,254,SIFT,45.4288,MAT_BF,SEL_KNN,1.96567,183
BRISK,329.477,264,SIFT,54.1817,BRISK,320.748,282,SIFT,47.381,MAT_FLANN,SEL_KNN,13.7697,184
BRISK,338.489,282,SIFT,45.2017,MAT_FLANN,SEL_KNN,4.10249,195
BRISK,322.62,277,SIFT,47.6919,MAT_FLANN,SEL_KNN,4.08256,169
BRISK,321.691,297,SIFT,49.9199,MAT_FLANN,SEL_KNN,4.32107,187
BRISK,324.676,279,SIFT,53.75,MAT_FLANN,SEL_KNN,5.34692,171
BRISK,334.247,289,SIFT,50.8743,MAT_FLANN,SEL_KNN,4.19229,197
BRISK,323.189,272,SIFT,49.7807,MAT_FLANN,SEL_KNN,4.20216,193
BRISK,325.285,266,SIFT,50.908,MAT_FLANN,SEL_KNN,3.97086,177
BRISK,323.11,254,SIFT,45.7393,MAT_FLANN,SEL_KNN,3.7884,184
BRISK,327.76,264,FREAK,41.2999,BRISK,332.812,282,FREAK,40.0003,MAT_FLANN,SEL_KNN,4.90646,162
BRISK,321.083,282,FREAK,39.0765,MAT_FLANN,SEL_KNN,3.87813,181
BRISK,320.46,277,FREAK,38.3591,MAT_FLANN,SEL_KNN,4.06496,161
BRISK,321.402,297,FREAK,38.4512,MAT_FLANN,SEL_KNN,4.79306,177
BRISK,320.344,279,FREAK,38.6222,MAT_FLANN,SEL_KNN,4.88519,168
BRISK,319.872,289,FREAK,38.48,MAT_FLANN,SEL_KNN,4.30393,180
BRISK,319.231,272,FREAK,38.4783,MAT_FLANN,SEL_KNN,4.48939,172
BRISK,329.575,266,FREAK,37.9736,MAT_FLANN,SEL_KNN,3.78607,179
BRISK,323.816,254,FREAK,38.425,MAT_FLANN,SEL_KNN,3.52991,169
FAST,2.22505,419,FREAK,56.2524,FAST,2.15066,427,FREAK,42.5857,MAT_FLANN,SEL_KNN,10.7539,251
FAST,1.85889,404,FREAK,39.7955,MAT_FLANN,SEL_KNN,8.54314,250
FAST,1.96488,423,FREAK,40.0586,MAT_FLANN,SEL_KNN,8.73513,238
FAST,1.94898,386,FREAK,39.1252,MAT_FLANN,SEL_KNN,7.35843,258
FAST,1.87729,414,FREAK,38.702,MAT_FLANN,SEL_KNN,6.6672,234
FAST,1.91974,418,FREAK,39.3887,MAT_FLANN,SEL_KNN,8.38728,270
FAST,2.05984,406,FREAK,39.3512,MAT_FLANN,SEL_KNN,7.6993,255
FAST,1.93099,396,FREAK,38.774,MAT_FLANN,SEL_KNN,8.51214,253
FAST,1.97634,401,FREAK,38.9472,MAT_FLANN,SEL_KNN,7.11988,250
HARIS,43.7166,17,FREAK,38.9299,HARIS,14.1437,14,FREAK,37.6584,MAT_FLANN,SEL_KNN,0.63002,12
HARIS,11.6147,19,FREAK,37.1713,MAT_FLANN,SEL_KNN,0.527053,7
HARIS,11.5879,22,FREAK,36.8159,MAT_FLANN,SEL_KNN,0.580152,13
HARIS,12.4467,26,FREAK,37.4188,MAT_FLANN,SEL_KNN,0.613845,16
HARIS,24.2387,47,FREAK,38.1458,MAT_FLANN,SEL_KNN,0.69131,17
HARIS,10.2584,18,FREAK,37.8985,MAT_FLANN,SEL_KNN,0.751833,16
HARIS,13.4103,33,FREAK,37.2845,MAT_FLANN,SEL_KNN,0.598285,11
HARIS,11.3019,27,FREAK,36.6056,MAT_FLANN,SEL_KNN,0.697618,17
HARIS,15.2255,35,FREAK,37.4255,MAT_FLANN,SEL_KNN,0.614847,17
SHITOMASI,67.7674,125,FREAK,42.8956,SHITOMASI,13.6859,118,FREAK,38.9199,MAT_FLANN,SEL_KNN,1.98907,85
SHITOMASI,11.8838,123,FREAK,38.382,MAT_FLANN,SEL_KNN,1.7579,89
SHITOMASI,11.1004,120,FREAK,37.4787,MAT_FLANN,SEL_KNN,1.90523,86
SHITOMASI,9.87396,120,FREAK,37.4968,MAT_FLANN,SEL_KNN,1.80594,89
SHITOMASI,12.4094,113,FREAK,38.8361,MAT_FLANN,SEL_KNN,1.73137,84
SHITOMASI,11.0932,114,FREAK,37.2477,MAT_FLANN,SEL_KNN,1.80703,82
SHITOMASI,9.89024,123,FREAK,37.618,MAT_FLANN,SEL_KNN,1.7316,80
SHITOMASI,12.2631,111,FREAK,38.5046,MAT_FLANN,SEL_KNN,1.78382,87
SHITOMASI,11.0012,112,FREAK,37.2187,MAT_FLANN,SEL_KNN,1.82715,85
BRISK,323.377,264,ORB,4.92997,BRISK,333.404,282,ORB,4.84674,MAT_FLANN,SEL_KNN,4.51704,165
BRISK,321.054,282,ORB,4.58753,MAT_FLANN,SEL_KNN,4.75324,182
BRISK,337.259,277,ORB,7.39691,MAT_FLANN,SEL_KNN,3.43591,168
BRISK,330.191,297,ORB,4.90577,MAT_FLANN,SEL_KNN,5.01368,174
BRISK,323.854,279,ORB,5.17547,MAT_FLANN,SEL_KNN,4.67934,169
BRISK,324.508,289,ORB,4.49193,MAT_FLANN,SEL_KNN,4.84023,187
BRISK,321.735,272,ORB,5.3217,MAT_FLANN,SEL_KNN,7.96352,171
BRISK,333.671,266,ORB,4.79252,MAT_FLANN,SEL_KNN,3.65499,180
BRISK,333.848,254,ORB,5.21192,MAT_FLANN,SEL_KNN,3.80509,177
BRISK,338.819,264,BRIEF,1.71833,BRISK,325.192,282,BRIEF,1.14886,MAT_FLANN,SEL_KNN,7.40285,179
BRISK,320.888,282,BRIEF,1.13717,MAT_FLANN,SEL_KNN,5.26236,204
BRISK,328.211,277,BRIEF,1.13893,MAT_FLANN,SEL_KNN,4.83805,185
BRISK,331.308,297,BRIEF,1.1221,MAT_FLANN,SEL_KNN,4.10499,179
BRISK,329.051,279,BRIEF,1.08055,MAT_FLANN,SEL_KNN,4.25135,185
BRISK,328.635,289,BRIEF,1.10636,MAT_FLANN,SEL_KNN,4.06272,195
BRISK,329.526,272,BRIEF,1.15539,MAT_FLANN,SEL_KNN,4.25176,206
BRISK,333.403,266,BRIEF,1.64559,MAT_FLANN,SEL_KNN,4.54838,189
BRISK,340.505,254,BRIEF,1.37389,MAT_FLANN,SEL_KNN,6.76642,180
BRISK,328.192,264,BRISK,300.061,BRISK,320.089,282,BRISK,290.255,MAT_FLANN,SEL_KNN,4.24067,175
BRISK,327.695,282,BRISK,292.181,MAT_FLANN,SEL_KNN,4.52905,182
BRISK,329.716,277,BRISK,293.572,MAT_FLANN,SEL_KNN,4.46074,170
BRISK,322.272,297,BRISK,290.152,MAT_FLANN,SEL_KNN,4.48731,180
BRISK,326.187,279,BRISK,294.528,MAT_FLANN,SEL_KNN,4.50524,175
BRISK,327.739,289,BRISK,298.837,MAT_FLANN,SEL_KNN,4.88859,192
BRISK,320.256,272,BRISK,289.384,MAT_FLANN,SEL_KNN,4.47737,180
BRISK,325.968,266,BRISK,297.118,MAT_FLANN,SEL_KNN,3.95694,179
BRISK,319.042,254,BRISK,298.838,MAT_FLANN,SEL_KNN,3.92315,185
BRISK,337.052,264,BRISK,291.934,BRISK,331.723,282,BRISK,295.604,MAT_FLANN,SEL_NN,5.51771,263
BRISK,328.28,282,BRISK,302.072,MAT_FLANN,SEL_NN,4.35732,280
BRISK,322.329,277,BRISK,292.019,MAT_FLANN,SEL_NN,3.68689,280
BRISK,321.903,297,BRISK,290.334,MAT_FLANN,SEL_NN,4.30012,277
BRISK,337.617,279,BRISK,292.451,MAT_FLANN,SEL_NN,5.87552,294
BRISK,320.222,289,BRISK,296.09,MAT_FLANN,SEL_NN,3.48748,279
BRISK,325.211,272,BRISK,298.7,MAT_FLANN,SEL_NN,4.31264,285
BRISK,327.017,266,BRISK,297.921,MAT_FLANN,SEL_NN,3.84521,271
BRISK,324.98,254,BRISK,291.226,MAT_FLANN,SEL_NN,3.83542,265
BRISK,341.703,264,BRIEF,1.91816,BRISK,321.64,282,BRIEF,1.12885,MAT_FLANN,SEL_NN,4.73616,264
BRISK,326.54,282,BRIEF,1.11707,MAT_FLANN,SEL_NN,5.61354,282
BRISK,330.082,277,BRIEF,1.1282,MAT_FLANN,SEL_NN,4.72738,282
BRISK,331.953,297,BRIEF,1.16008,MAT_FLANN,SEL_NN,5.0219,277
BRISK,328.663,279,BRIEF,1.1416,MAT_FLANN,SEL_NN,4.71998,295
BRISK,320.272,289,BRIEF,1.14595,MAT_FLANN,SEL_NN,4.74845,279
BRISK,325.681,272,BRIEF,1.13563,MAT_FLANN,SEL_NN,4.89871,289
BRISK,328.137,266,BRIEF,1.18347,MAT_FLANN,SEL_NN,4.37841,272
BRISK,335.134,254,BRIEF,1.18293,MAT_FLANN,SEL_NN,6.64504,266
BRISK,336.61,264,BRIEF,1.7154,BRISK,320.888,282,BRIEF,1.17759,MAT_BF,SEL_NN,0.903404,264
BRISK,321.81,282,BRIEF,1.18217,MAT_BF,SEL_NN,0.909563,282
BRISK,321.719,277,BRIEF,1.15462,MAT_BF,SEL_NN,0.922493,282
BRISK,319.88,297,BRIEF,1.19639,MAT_BF,SEL_NN,0.961729,277
BRISK,320.01,279,BRIEF,1.1708,MAT_BF,SEL_NN,0.973966,297
BRISK,319.936,289,BRIEF,1.20895,MAT_BF,SEL_NN,0.935299,279
BRISK,320.348,272,BRIEF,1.13388,MAT_BF,SEL_NN,1.16179,289
BRISK,321.049,266,BRIEF,1.15011,MAT_BF,SEL_NN,0.838354,272
BRISK,321.902,254,BRIEF,1.05405,MAT_BF,SEL_NN,0.776464,266
BRISK,325.074,264,ORB,4.90947,BRISK,322,282,ORB,4.43238,MAT_BF,SEL_NN,0.897325,264
BRISK,321.508,282,ORB,4.63264,MAT_BF,SEL_NN,1.05648,282
BRISK,321.109,277,ORB,4.53455,MAT_BF,SEL_NN,0.902833,282
BRISK,360.943,297,ORB,4.89619,MAT_BF,SEL_NN,0.989273,277
BRISK,321.969,279,ORB,4.3841,MAT_BF,SEL_NN,0.942931,297
BRISK,327.385,289,ORB,4.53857,MAT_BF,SEL_NN,1.02669,279
BRISK,320.81,272,ORB,4.53683,MAT_BF,SEL_NN,0.899927,289
BRISK,320.441,266,ORB,4.89966,MAT_BF,SEL_NN,0.933692,272
BRISK,320.191,254,ORB,4.8708,MAT_BF,SEL_NN,0.849404,266
BRISK,334.628,264,FREAK,40.7608,BRISK,321.603,282,FREAK,40.188,MAT_BF,SEL_NN,0.931192,242
BRISK,320.876,282,FREAK,39.0945,MAT_BF,SEL_NN,0.910748,260
BRISK,321.337,277,FREAK,38.3859,MAT_BF,SEL_NN,0.926337,263
BRISK,320.523,297,FREAK,38.6732,MAT_BF,SEL_NN,0.965046,264
BRISK,322.052,279,FREAK,39.0339,MAT_BF,SEL_NN,0.935553,274
BRISK,322.114,289,FREAK,38.7826,MAT_BF,SEL_NN,0.931918,256
BRISK,321.378,272,FREAK,38.8602,MAT_BF,SEL_NN,0.971595,269
BRISK,321.014,266,FREAK,38.6283,MAT_BF,SEL_NN,0.88213,255
BRISK,319.955,254,FREAK,38.8558,MAT_BF,SEL_NN,0.851313,243
BRISK,337.455,264,FREAK,40.74,BRISK,334.887,282,FREAK,39.2031,MAT_FLANN,SEL_NN,3.6481,242
BRISK,325.994,282,FREAK,39.1306,MAT_FLANN,SEL_NN,4.2601,260
BRISK,331.849,277,FREAK,38.2119,MAT_FLANN,SEL_NN,3.85623,263
BRISK,328.071,297,FREAK,38.5429,MAT_FLANN,SEL_NN,4.33421,264
BRISK,332.784,279,FREAK,38.744,MAT_FLANN,SEL_NN,3.70707,273
BRISK,338.97,289,FREAK,38.8678,MAT_FLANN,SEL_NN,3.90268,256
BRISK,327.983,272,FREAK,38.9729,MAT_FLANN,SEL_NN,4.00134,269
BRISK,326.804,266,FREAK,37.9405,MAT_FLANN,SEL_NN,3.69271,255
BRISK,327.435,254,FREAK,38.8152,MAT_FLANN,SEL_NN,4.00438,243
BRISK,335.159,264,FREAK,44.8811,BRISK,321.011,282,FREAK,39.9618,MAT_BF,SEL_KNN,1.03041,160
BRISK,321.18,282,FREAK,39.4161,MAT_BF,SEL_KNN,1.07021,177
BRISK,321.422,277,FREAK,38.4621,MAT_BF,SEL_KNN,1.09369,155
BRISK,320.684,297,FREAK,38.6136,MAT_BF,SEL_KNN,1.42171,173
BRISK,321.335,279,FREAK,38.4102,MAT_BF,SEL_KNN,1.21664,161
BRISK,320.793,289,FREAK,38.154,MAT_BF,SEL_KNN,1.05488,183
BRISK,320.751,272,FREAK,38.0479,MAT_BF,SEL_KNN,0.996971,169
BRISK,327.749,266,FREAK,38.374,MAT_BF,SEL_KNN,1.09868,178
BRISK,327.081,254,FREAK,39.8316,MAT_BF,SEL_KNN,1.28212,168
BRISK,324.453,264,SIFT,50.8657,BRISK,351.511,282,SIFT,48.4872,MAT_BF,SEL_KNN,1.6073,182
BRISK,319.37,282,SIFT,67.9681,MAT_BF,SEL_KNN,2.92853,193
BRISK,327.276,277,SIFT,48.4568,MAT_BF,SEL_KNN,1.62538,169
BRISK,324.891,297,SIFT,49.6516,MAT_BF,SEL_KNN,2.52994,183
BRISK,328.235,279,SIFT,49.6382,MAT_BF,SEL_KNN,1.68838,171
BRISK,323.99,289,SIFT,55.1744,MAT_BF,SEL_KNN,1.72568,195
BRISK,320.841,272,SIFT,49.6367,MAT_BF,SEL_KNN,1.68131,194
BRISK,322.957,266,SIFT,47.0067,MAT_BF,SEL_KNN,1.71905,176
BRISK,323.449,254,SIFT,45.3955,MAT_BF,SEL_KNN,1.63757,183
BRISK,338.545,264,SIFT,53.2402,BRISK,323.169,282,SIFT,47.2836,MAT_FLANN,SEL_KNN,4.17315,184
BRISK,322.85,282,SIFT,45.517,MAT_FLANN,SEL_KNN,4.11041,195
BRISK,321.315,277,SIFT,51.0509,MAT_FLANN,SEL_KNN,4.146,169
BRISK,331.285,297,SIFT,49.189,MAT_FLANN,SEL_KNN,4.11036,187
BRISK,323.912,279,SIFT,49.5318,MAT_FLANN,SEL_KNN,4.39292,171
BRISK,325.14,289,SIFT,48.0993,MAT_FLANN,SEL_KNN,4.22771,197
BRISK,320.833,272,SIFT,51.4019,MAT_FLANN,SEL_KNN,4.14934,193
BRISK,321.274,266,SIFT,49.3641,MAT_FLANN,SEL_KNN,3.91351,177
BRISK,322.663,254,SIFT,45.6795,MAT_FLANN,SEL_KNN,3.86858,184
BRISK,336.064,264,SIFT,51.0938,BRISK,322.511,282,SIFT,50.0785,MAT_FLANN,SEL_NN,3.76483,264
BRISK,321.697,282,SIFT,48.5314,MAT_FLANN,SEL_NN,3.83214,282
BRISK,324.128,277,SIFT,46.6616,MAT_FLANN,SEL_NN,3.82343,282
BRISK,347.241,297,SIFT,50.473,MAT_FLANN,SEL_NN,4.15408,277
BRISK,327.032,279,SIFT,50.108,MAT_FLANN,SEL_NN,4.07397,297
BRISK,333.241,289,SIFT,56.2142,MAT_FLANN,SEL_NN,3.82932,279
BRISK,332.186,272,SIFT,48.8436,MAT_FLANN,SEL_NN,4.05536,289
BRISK,324.447,266,SIFT,49.3569,MAT_FLANN,SEL_NN,3.73358,272
BRISK,324.604,254,SIFT,44.8243,MAT_FLANN,SEL_NN,3.5233,266
BRISK,349.202,264,SIFT,53.9124,BRISK,323.204,282,SIFT,47.2734,MAT_BF,SEL_NN,1.58325,264
BRISK,322.92,282,SIFT,50.7631,MAT_BF,SEL_NN,1.71049,282
BRISK,322.272,277,SIFT,46.4437,MAT_BF,SEL_NN,1.54388,282
BRISK,322.132,297,SIFT,49.6947,MAT_BF,SEL_NN,1.61463,277
BRISK,324.179,279,SIFT,49.2476,MAT_BF,SEL_NN,7.8649,297
BRISK,325.288,289,SIFT,50.7254,MAT_BF,SEL_NN,2.52071,279
BRISK,322.34,272,SIFT,44.9158,MAT_BF,SEL_NN,1.57885,289
BRISK,322.903,266,SIFT,49.9399,MAT_BF,SEL_NN,1.66548,272
BRISK,335.012,254,SIFT,49.6969,MAT_BF,SEL_NN,1.39371,266
ORB,8.60209,92,SIFT,64.9738,ORB,7.29673,102,SIFT,51.8283,MAT_BF,SEL_NN,0.40265,92
ORB,7.61871,106,SIFT,51.7645,MAT_BF,SEL_NN,0.398068,102
ORB,6.51727,113,SIFT,53.6519,MAT_BF,SEL_NN,0.456766,106
ORB,6.41498,109,SIFT,53.7041,MAT_BF,SEL_NN,0.41329,113
ORB,6.43818,125,SIFT,53.7097,MAT_BF,SEL_NN,0.433677,109
ORB,6.39104,130,SIFT,59.6719,MAT_BF,SEL_NN,0.490899,125
ORB,6.55897,129,SIFT,57.0586,MAT_BF,SEL_NN,0.478319,130
ORB,6.6303,127,SIFT,57.7931,MAT_BF,SEL_NN,0.489237,129
ORB,7.21945,128,SIFT,53.771,MAT_BF,SEL_NN,0.487913,127
ORB,8.21806,92,FREAK,41.016,ORB,17.5661,102,FREAK,39.1066,MAT_BF,SEL_NN,0.265889,46
ORB,18.0041,106,FREAK,38.5123,MAT_BF,SEL_NN,0.164991,53
ORB,7.62287,113,FREAK,37.4151,MAT_BF,SEL_NN,0.107026,56
ORB,7.40572,109,FREAK,36.9986,MAT_BF,SEL_NN,0.151079,65
ORB,6.34324,125,FREAK,37.1528,MAT_BF,SEL_NN,0.105555,55
ORB,7.14809,130,FREAK,38.2225,MAT_BF,SEL_NN,0.1177,64
ORB,6.44902,129,FREAK,37.5658,MAT_BF,SEL_NN,0.122677,66
ORB,7.58214,127,FREAK,38.1114,MAT_BF,SEL_NN,0.141092,71
ORB,6.48535,128,FREAK,37.5113,MAT_BF,SEL_NN,0.12946,73
ORB,9.06833,92,ORB,4.93952,ORB,7.74681,102,ORB,4.79559,MAT_BF,SEL_NN,0.317138,92
ORB,8.44896,106,ORB,5.25409,MAT_BF,SEL_NN,0.180007,102
ORB,6.60688,113,ORB,4.57973,MAT_BF,SEL_NN,0.272983,106
ORB,6.93053,109,ORB,4.73649,MAT_BF,SEL_NN,0.284141,113
ORB,6.46748,125,ORB,5.04586,MAT_BF,SEL_NN,0.210121,109
ORB,6.5617,130,ORB,4.81794,MAT_BF,SEL_NN,0.241625,125
ORB,6.82186,129,ORB,4.90805,MAT_BF,SEL_NN,0.277187,130
ORB,7.44798,127,ORB,5.58666,MAT_BF,SEL_NN,0.251588,129
ORB,6.8599,128,ORB,4.89375,MAT_BF,SEL_NN,0.360483,127
ORB,7.74194,92,BRIEF,1.067,ORB,7.55492,102,BRIEF,0.585701,MAT_BF,SEL_NN,0.304393,92
ORB,6.7721,106,BRIEF,0.615751,MAT_BF,SEL_NN,0.23366,102
ORB,6.80386,113,BRIEF,0.69973,MAT_BF,SEL_NN,0.21572,106
ORB,7.40274,109,BRIEF,0.863966,MAT_BF,SEL_NN,0.224729,113
ORB,6.69501,125,BRIEF,0.665133,MAT_BF,SEL_NN,0.223407,109
ORB,7.04429,130,BRIEF,0.670308,MAT_BF,SEL_NN,0.236175,125
ORB,6.99356,129,BRIEF,0.851924,MAT_BF,SEL_NN,0.274043,130
ORB,7.15055,127,BRIEF,0.680674,MAT_BF,SEL_NN,0.345528,129
ORB,7.45325,128,BRIEF,0.672993,MAT_BF,SEL_NN,0.239051,127
ORB,8.04612,92,BRISK,309.722,ORB,7.55166,102,BRISK,289.266,MAT_BF,SEL_NN,0.234976,83
ORB,7.39673,106,BRISK,288.844,MAT_BF,SEL_NN,0.189393,93
ORB,7.50851,113,BRISK,288.052,MAT_BF,SEL_NN,0.197606,95
ORB,7.32145,109,BRISK,289.762,MAT_BF,SEL_NN,0.211033,103
ORB,7.09171,125,BRISK,288.787,MAT_BF,SEL_NN,0.229875,101
ORB,6.95627,130,BRISK,288.814,MAT_BF,SEL_NN,0.245363,116
ORB,7.11324,129,BRISK,288.446,MAT_BF,SEL_NN,0.256124,120
ORB,6.90331,127,BRISK,288.513,MAT_BF,SEL_NN,0.256809,120
ORB,7.1355,128,BRISK,288.405,MAT_BF,SEL_NN,0.31938,119
ORB,8.94545,92,ORB,5.99163,ORB,12.3531,102,ORB,4.62669,MAT_FLANN,SEL_NN,1.43127,91
ORB,7.5425,106,ORB,5.42924,MAT_FLANN,SEL_NN,1.47322,101
ORB,6.77231,113,ORB,15.1398,MAT_FLANN,SEL_NN,1.80096,104
ORB,6.86918,109,ORB,4.64994,MAT_FLANN,SEL_NN,1.85021,109
ORB,6.8067,125,ORB,4.80188,MAT_FLANN,SEL_NN,1.68303,108
ORB,6.73348,130,ORB,4.70479,MAT_FLANN,SEL_NN,2.51818,125
ORB,6.7652,129,ORB,4.66101,MAT_FLANN,SEL_NN,2.39056,126
ORB,6.89218,127,ORB,4.71854,MAT_FLANN,SEL_NN,2.0373,128
ORB,7.21553,128,ORB,4.55516,MAT_FLANN,SEL_NN,3.48043,125
ORB,9.44049,92,ORB,5.94604,ORB,9.13193,102,ORB,5.00421,MAT_FLANN,SEL_KNN,2.31829,64
ORB,8.46959,106,ORB,4.63553,MAT_FLANN,SEL_KNN,13.8986,71
ORB,6.26722,113,ORB,4.64954,MAT_FLANN,SEL_KNN,1.47086,70
ORB,7.30144,109,ORB,4.62505,MAT_FLANN,SEL_KNN,1.51385,82
ORB,6.64702,125,ORB,4.7452,MAT_FLANN,SEL_KNN,1.92251,89
ORB,6.58976,130,ORB,4.63792,MAT_FLANN,SEL_KNN,2.44436,92
ORB,7.38349,129,ORB,4.62526,MAT_FLANN,SEL_KNN,2.82913,92
ORB,8.10518,127,ORB,4.57235,MAT_FLANN,SEL_KNN,2.51764,89
ORB,6.99099,128,ORB,4.75753,MAT_FLANN,SEL_KNN,1.7868,91
AKAZE,101.66,166,AKAZE,75.8442,AKAZE,73.1029,157,AKAZE,59.6453,MAT_FLANN,SEL_KNN,2.61376,137
AKAZE,68.6352,161,AKAZE,60.7349,MAT_FLANN,SEL_KNN,2.27716,133
AKAZE,73.6103,155,AKAZE,59.8464,MAT_FLANN,SEL_KNN,2.5765,133
AKAZE,71.5034,163,AKAZE,65.2865,MAT_FLANN,SEL_KNN,2.33915,128
AKAZE,77.9032,164,AKAZE,81.2985,MAT_FLANN,SEL_KNN,3.64177,130
AKAZE,95.5363,173,AKAZE,77.2801,MAT_FLANN,SEL_KNN,2.60009,142
AKAZE,81.719,175,AKAZE,63.8904,MAT_FLANN,SEL_KNN,2.70429,150
AKAZE,69.0244,177,AKAZE,67.8,MAT_FLANN,SEL_KNN,2.60961,152
AKAZE,78.6459,179,AKAZE,62.2377,MAT_FLANN,SEL_KNN,2.69929,149
AKAZE,95.0893,166,AKAZE,59.9815,AKAZE,77.0639,157,AKAZE,61.749,MAT_BF,SEL_KNN,0.589347,138
AKAZE,72.3896,161,AKAZE,60.0389,MAT_BF,SEL_KNN,0.631243,138
AKAZE,72.7567,155,AKAZE,59.6065,MAT_BF,SEL_KNN,0.542407,133
AKAZE,71.6206,163,AKAZE,59.5265,MAT_BF,SEL_KNN,0.532307,127
AKAZE,77.4798,164,AKAZE,64.8945,MAT_BF,SEL_KNN,0.571346,129
AKAZE,91.3992,173,AKAZE,68.291,MAT_BF,SEL_KNN,0.597098,146
AKAZE,80.8104,175,AKAZE,65.6374,MAT_BF,SEL_KNN,0.624847,147
AKAZE,70.8707,177,AKAZE,61.6899,MAT_BF,SEL_KNN,0.622405,151
AKAZE,72.188,179,AKAZE,64.0876,MAT_BF,SEL_KNN,0.85618,150
